org_command,org_LTL,org_proposition_order,generated_LTL,generated_command
Pick up the spray and place it in site B.,F(SprayPickedUp → SprayPlacedInSiteB),"['SprayPickedUp', 'SprayPlacedInSiteB']",['F(SprayPickedUp → SprayPlacedInSiteB)'],"['Grab the spray and put it in location B.', 'Take the spray and set it in site B.', 'Capture the spray and relocate it to site B.', 'Snatch the spray and deposit it in site B.', 'Get the spray and place it at site B.', 'Seize the spray and position it at site B.', 'Retrieve the spray and situate it in site B.', 'Hold the spray and transfer it to site B.', 'Catch the spray and move it to site B.', 'Snap up the spray and put it in at site B.']"
Pick up the coke can and place it in site C.,F(CokecanPickedUp → CokecanPlacedInSiteC),"['CokecanPickedUp', 'CokecanPlacedInSiteC']","['F((CokecanPickedUp) → (CokecanPlacedInSiteC))', 'F((CokecanPickedUp) → F(CokecanPlacedInSiteC))', 'F(G((CokecanPickedUp) → (CokecanPlacedInSiteC)))', 'F(G((CokecanPickedUp) → F(CokecanPlacedInSiteC)))', 'F(G(G((CokecanPickedUp) → (CokecanPlacedInSiteC))))', 'F(F((CokecanPickedUp) → (CokecanPlacedInSiteC)))', 'F(F((CokecanPickedUp) → F(CokecanPlacedInSiteC)))', 'G(F((CokecanPickedUp) → (CokecanPlacedInSiteC)))', 'G(F((CokecanPickedUp) → F(CokecanPlacedInSiteC)))', 'G(G((CokecanPickedUp) → (CokecanPlacedInSiteC)))']","['Grab the coke can and put it in site C', 'Take the coke can and keep it at site C', 'Collect the coke can and transfer it to site C', 'Pick the coke can and deposit it in site C', 'Hold the coke can and move it to site C', 'Fetch the coke can and position it at site C', 'Secure the coke can and place it at site C', 'Gather the coke can and set it down in site C', 'Lift the coke can and transport it to site C', 'Obtain the coke can and relocate it to site C']"
Pick up the cup and place it in site D.,F(CupPickedUp → CupPlacedInSiteD),"['CupPickedUp', 'CupPlacedInSiteD']","['F(CupPickedUp → CupPlacedInSiteD)', 'F((CupPickedUp) → (CupPlacedInSiteD))', 'F((CupPickedUp) → F(CupPlacedInSiteD))', 'F(G(CupPickedUp → CupPlacedInSiteD))', 'F(G((CupPickedUp) → (CupPlacedInSiteD)))', 'F(G((CupPickedUp) → F(CupPlacedInSiteD)))', 'F(F(CupPickedUp) → CupPlacedInSiteD)', 'F(F((CupPickedUp) → (CupPlacedInSiteD)))']","['Grasp the cup and put it in location D.', 'Take the cup and move it to site D.', 'Hold the cup and set it at site D.', 'Grab the cup and leave it in site D.', 'Catch the cup and deposit it at site D.', 'Get the cup and place it at site D.', 'Secure the cup and situate it in site D.', 'Obtain the cup and relocate it to site D.', 'Seize the cup and arrange it in site D.', 'Snatch the cup and station it at site D.']"
Go to room A and then go to room B.,F(InRoomA → InRoomB),"['InRoomA', 'InRoomB']","['F(InRoomA → F(InRoomB))', 'F((InRoomA ∧ ¬(InRoomB)) → F(InRoomB))', 'F(¬(InRoomA) ∨ (InRoomA → InRoomB))', 'F((¬(InRoomB)) → (InRoomA → InRoomB))', 'F((¬(InRoomB) ∧ InRoomA) → InRoomB)', 'F(G(InRoomA) → F(InRoomB))', 'F((G(InRoomA) ∧ ¬(InRoomB)) → F(InRoomB))', 'F(¬(InRoomB) ∧ (G(InRoomA) → InRoomB))', 'F((G(InRoomA) → ¬(InRoomB)) ∨ InRoomB)', 'F((¬(InRoomB)) → (G(InRoomA) → F(InRoomB)))']","['Proceed to room A and then continue to room B', 'Head toward room A initially, afterward advance to room B', 'Start by going to room A, then proceed to room B', 'Travel to room A first, then go to room B', 'Journey to room A then to room B', 'Walk to room A first, and then move on to room B', 'Visit room A first, then make a trip to room B', 'Move to room A first, and then navigate to room B', 'Journey towards room A first, and then to room B', 'Make your way to room A, and then shift to room B']"
Go to room B and then go to room C.,F(InRoomB → InRoomC),"['InRoomB', 'InRoomC']","['F((InRoomB ∧ G(InRoomC)))', 'F(InRoomB) → F(InRoomC)', 'F((InRoomB ∧ F(InRoomC)))', 'F((InRoomB) → F((InRoomC)))']","['Move to room B first and afterwards, proceed to room C', 'First, navigate to room B, then head to room C', 'Start by going to room B, then, head to room C', 'Make your way to room B and subsequently make a move to room C', 'Travel to room B then transition to room C', 'Reach room B first, then journey to room C', 'Proceed to room B, then advance to room C', 'Your first destination is room B and next is room C', 'First access room B, then proceed to room C', 'Head for room B and next you move to room C']"
Go to room C and then go to room A.,F(InRoomC → InRoomA),"['InRoomC', 'InRoomA']","['F(InRoomC → F(InRoomA))', 'F(G(InRoomC → InRoomA))', 'F((InRoomC ∧ F(InRoomA)))', 'F((InRoomC) → G(InRoomA))', 'F((InRoomC ∧ G(InRoomA)))', 'F((G(InRoomC) → F(InRoomA)))']","['Proceed to room C first and then to room A.', 'Move to room C first, and afterwards to room A.', 'Head first to room C, and then room A.', 'Navigate to room C before moving on to room A.', 'Start by going to room C, following that, go to room A.', 'Firstly, reach room C, then proceed to room A.', 'Make a move to room C, and then to room A.', 'Take a route towards room C before going to room A.', 'First make your way to room C, and after that to room A.', 'First go to room C, then journey to room A.']"
"Go to room A and then go to room B. Finally, go to room C",F(InRoomA → InRoomB → InRoomC),"['InRoomA', 'InRoomB', 'InRoomC']","['F(InRoomA → (InRoomB → InRoomC))', 'F((InRoomA ∧ F(InRoomB)) → F(InRoomC))', 'F((InRoomA ∧ G(InRoomB)) → F(InRoomC))', 'F((InRoomA ∧ F(InRoomB)) → G(InRoomC))', 'F((InRoomA ∧ G(InRoomB)) → G(InRoomC))', 'F(G(InRoomA) → (InRoomB → InRoomC))', 'F(G(InRoomA) → ((InRoomB ∧ F(InRoomC))))', 'F(G(InRoomA) → ((InRoomB ∧ G(InRoomC))))', 'F((G(InRoomA) ∧ F(InRoomB)) → F(InRoomC))', 'F((G(InRoomA) ∧ F(InRoomB)) → G(InRoomC))']","['First head to room A, then proceed to room B and lastly move to room C', 'Navigate to room A, from there move to room B and end at room C', 'Start by moving to room A, then transition to room B and finally enter room C', 'Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C', 'Initially, find your way to room A, then travel to room B and ultimately end up in room C', 'First go to room A, next make a move to room B and then finish at room C', 'Make a start at room A, follow it by going to room B and conclude by going to room C', 'Begin by getting to room A, then relocate to room B and end by entering room C', 'Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C', 'Destination one is room A, followed by room B and the final destination is room C']"
"Go to room B and then go to room C. Finally, go to room A",F(InRoomB → InRoomC → InRoomA),"['InRoomB', 'InRoomC', 'InRoomA']","['F(InRoomB → (InRoomC → InRoomA))', 'F(((InRoomB) ∧ F(InRoomC)) → F(InRoomA))', 'F((InRoomB → F(InRoomC)) → F(InRoomA))', 'F(InRoomB → ((InRoomC) ∧ F(InRoomA)))', 'F((InRoomB → F(InRoomC)) → InRoomA)']","['Head over to room B, proceed to room C after that, then make your way to room A', 'Move to room B first, next move to room C and lastly move to room A', 'Travel to room B first, then travel to room C and end at room A', 'Navigate your way to room B, then to room C and conclude at room A', 'Start by heading to room B, follow by room C and end up in room A', 'Initiate movement to room B, then move to room C and finish at room A', 'Firstly, approach room B, after that room C, and finally room A', 'Make a move towards room B, subsequently to room C, and at last to room A', 'Embark to room B, later progress to room C, and conclude your journey at room A', 'Advance to room B first, followed by room C and then finally room A']"
"Go to room C and then go to room A. Finally, go to room B",F(InRoomC → InRoomA → InRoomB),"['InRoomC', 'InRoomA', 'InRoomB']","['F((InRoomC1) → ((InRoomA1) → (InRoomB1)))', 'F((InRoomC1 → InRoomA1) → InRoomB1)', 'F((InRoomC1 ∧ F(InRoomA1)) → F(InRoomB1))', 'F((InRoomC1 → F(InRoomA1)) → F(InRoomB1))', 'F((InRoomC1 ∧ (InRoomA1)) → (InRoomB1))']","['Head to room C first, then move to room A and end up in room B', 'First, navigate to room C, then to room A, and lastly to room B', 'Journey to room C, afterwards to room A, and finally to room B', 'Start by going to room C, then proceed to room A and finally end at room B', 'Start your route with room C, follow up with room A, and conclude with room B', 'Make your way to room C, then to room A, with your final destination being room B', 'Travel to room C, followed by room A, then culminate your journey at room B', 'Navigate first to room C, then towards room A and eventually arrive at room B', 'Go forth to room C, then make a trip to room A, then finish your path at room B', 'Proceed to room C, then to room A and, in the end, reach room B']"
Go to room A. And pick up the spray and place it in site C.,F(InRoomA → SprayPickedUp → SprayPlacedInSiteC),"['InRoomA', 'SprayPickedUp', 'SprayPlacedInSiteC']","['F((InRoomA) → (SprayPickedUp) → (SprayPlacedInSiteC))', 'F((InRoomA) → ((SprayPickedUp) → (SprayPlacedInSiteC)))', 'F((InRoomA) → ((SprayPickedUp ∧ (SprayPlacedInSiteC))))', 'F(((InRoomA ∧ SprayPickedUp) → (SprayPlacedInSiteC)))', 'F(((InRoomA → SprayPickedUp) ∧ (SprayPlacedInSiteC)))', 'F((InRoomA) → (SprayPickedUp ∧ SprayPlacedInSiteC))', 'F((InRoomA) → G(SprayPickedUp) → G(SprayPlacedInSiteC))', 'F((InRoomA) → G(SprayPickedUp ∧ SprayPlacedInSiteC))', 'F((InRoomA) → G((SprayPickedUp) → (SprayPlacedInSiteC)))', 'F((InRoomA) → G((SprayPickedUp ∧ (SprayPlacedInSiteC))))']","['Proceed to room A, collect the spray and put it at site C', 'Head to room A, grab the spray and locate it in site C', 'Move to room A, take the spray and set it in site C', 'Navigate to room A, pick the spray and arrange it at site C', 'Travel to room A, lift the spray and transport it to site C', 'Journey to room A, acquire the spray and transfer it on site C', 'Shift to room A, get hold of the spray and place it on to site C', 'Advance towards room A, fetch the spray and put it on site C', 'Commute to room A, snag the spray and lay it on site C', 'Make your way to room A, secure the spray and relocate it to site C']"
Pick up the spray. Go to room A. And place it in site B.,F(SprayPickedUp → InRoomA → SprayPlacedInSiteB),"['SprayPickedUp', 'InRoomA', 'SprayPlacedInSiteB']","['F((SprayPickedUp) → ((InRoomA) → (SprayPlacedInSiteB)))', 'F(((SprayPickedUp) ∧ (InRoomA)) → (SprayPlacedInSiteB))', 'F((((SprayPickedUp) ∧ (InRoomA)) → (SprayPlacedInSiteB)))', 'F((SprayPickedUp) → (InRoomA → (SprayPlacedInSiteB)))', 'F((SprayPickedUp) → (InRoomA ∧ (SprayPlacedInSiteB)))']","['Grab the spray and take it to room A before placing it in site B.', 'Collect the spray, travel to room A, and then put it in site B.', 'Get the spray, proceed to room A, and deposit it at site B.', 'Snatch the spray, move to room A, and lay it down at site B.', 'Take the spray, head to room A, and set it in site B.', 'Acquire the spray, navigate to room A, and position it at site B.', 'Seize the spray, journey to room A, and situate it in site B.', 'Hold the spray, march to room A, and park it at site B.', 'Catch the spray, wander to room A, and rest it in site B.', 'Clasp the spray, direct yourself to room A and deposit it in site B.']"
"Pick up the spray and place it in site B. Finally, go to room A. ",F(SprayPickedUp → SprayPlacedInSiteB → InRoomA),"['SprayPickedUp', 'SprayPlacedInSiteB', 'InRoomA']","['F((SprayPickedUp → (SprayPlacedInSiteB → InRoomA)))', 'F((InRoomA → (SprayPlacedInSiteB → SprayPickedUp)))', 'F((SprayPlacedInSiteB → (SprayPickedUp → InRoomA)))', 'F((SprayPickedUp → (InRoomA → SprayPlacedInSiteB)))', 'F((InRoomA → (SprayPickedUp → SprayPlacedInSiteB)))', 'F((SprayPlacedInSiteB → (InRoomA → SprayPickedUp)))']","['Grab the spray and put it at location B, then move to room A.', 'Take the spray, place it in location B and then proceed to room A.', 'Fetch the spray, transport it to site B, then head towards room A.', 'Collect the spray, deposit it at site B and afterward, navigate to room A.', 'Get the spray, situate it at place B, thereafter, migrate to room A.', 'Snatch the spray, relocate it to zone B, subsequently, travel to room A.', 'Capture the spray, shift it to spot B, finally, journey to room A.', 'Seize the spray, move it to position B, then venture to room A.', 'Hold the spray, insert it in site B, finally, advance to room A.', 'Catch the spray, drop it in location B, in the end, reach room A.']"
"Pick up the spray and place it in site B. Finally, go to room A and then go to room B. ",F(SprayPickedUp → SprayPlacedInSiteB → InRoomA → InRoomB),"['SprayPickedUp', 'SprayPlacedInSiteB', 'InRoomA', 'InRoomB']","['F((SprayPickedUp → SprayPlacedInSiteB) → (InRoomA → InRoomB))', 'F(G(SprayPickedUp) → G(SprayPlacedInSiteB) → G(InRoomA → InRoomB))', 'F((SprayPickedUp → SprayPlacedInSiteB) → G(InRoomA → InRoomB))', 'F(G(SprayPickedUp → SprayPlacedInSiteB) → (InRoomA → InRoomB))', 'F(G((SprayPickedUp → SprayPlacedInSiteB) → (InRoomA → InRoomB)))', 'F(((SprayPickedUp → SprayPlacedInSiteB) → InRoomA) → InRoomB)', 'F((SprayPickedUp → (SprayPlacedInSiteB → InRoomA)) → InRoomB)', 'F((SprayPickedUp → SprayPlacedInSiteB) → F(InRoomA → InRoomB))', 'F(F(SprayPickedUp → SprayPlacedInSiteB) → (InRoomA → InRoomB))', 'F((SprayPickedUp → F(SprayPlacedInSiteB)) → (InRoomA → InRoomB))']","['Grab the spray and put it in location B. Then, proceed to room A and room B.', 'Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B.', 'Get hold of the spray and keep it in place B. Later, move to room A before heading to room B.', 'Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B.', 'Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B.', 'Take the spray and set it in area B. Once done, commute to room A and subsequently to room B.', 'Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B.', 'Snatch the spray and situate it at location B. Then, transition to room A and later to room B.', 'Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B.', 'Acquire the spray and station it at site B. Then, travel to room A and at last to room B.']"
"Pick up the spray and go to room A. Finally, place it in site B and then go to room B. ",F(SprayPickedUp → InRoomA → SprayPlacedInSiteB → InRoomB),"['SprayPickedUp', 'InRoomA', 'SprayPlacedInSiteB', 'InRoomB']","['F(SprayPickedUp → (InRoomA → (SprayPlacedInSiteB → InRoomB)))', 'F((SprayPickedUp ∧ (InRoomA → (SprayPlacedInSiteB → InRoomB))))', 'F((SprayPickedUp → InRoomA) → (SprayPlacedInSiteB → InRoomB))', 'F(SprayPickedUp → ((InRoomA → SprayPlacedInSiteB) → InRoomB))', 'F(SprayPickedUp → (InRoomA → SprayPlacedInSiteB) → InRoomB)', 'F(SprayPickedUp ∧ (InRoomA → (SprayPlacedInSiteB ∧ InRoomB)))', 'F(SprayPickedUp ∧ ((InRoomA → SprayPlacedInSiteB) → InRoomB))', 'F((SprayPickedUp ∧ InRoomA) → (SprayPlacedInSiteB → InRoomB))', 'F((SprayPickedUp → InRoomA) ∧ (SprayPlacedInSiteB → InRoomB))', 'F(SprayPickedUp → ((InRoomA ∧ SprayPlacedInSiteB) → InRoomB))']","['Grab the spray and head to room A. Then, put it down at site B and move to room B.', 'Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B.', 'Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B.', 'Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B.', 'Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B.', 'Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B.', 'Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards.', 'Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B.', 'Grab the spray and maneuver your way to room A. Following that, leave it at site B before moving on to room B.', 'Snatch the spray and move forward to room A. Then, lay it down at site B before you proceed to room B.']"
"Go to room A and then go to room B. Finally, pick up the spray and place it in site B and then go to room B. ",F(InRoomA  → InRoomB → SprayPickedUp → SprayPlacedInSiteB),"['InRoomA', 'InRoomB', 'SprayPickedUp', 'SprayPlacedInSiteB']","['F((InRoomA → (InRoomB → (SprayPickedUp → SprayPlacedInSiteB))))', 'F(InRoomA) → F(InRoomB → (SprayPickedUp → SprayPlacedInSiteB))', 'F((InRoomA) → F((InRoomB) → (SprayPickedUp → SprayPlacedInSiteB)))', 'F(InRoomA → ((InRoomB) → F(SprayPickedUp → SprayPlacedInSiteB)))', 'F((InRoomA → F(InRoomB)) → (SprayPickedUp → SprayPlacedInSiteB))', 'F((InRoomA → (InRoomB → F(SprayPickedUp)) → SprayPlacedInSiteB))', 'F((InRoomA) → ((InRoomB → F(SprayPickedUp)) → SprayPlacedInSiteB))', 'F(InRoomA) → ((InRoomB → F(SprayPickedUp) → SprayPlacedInSiteB))', 'F(InRoomA → F((InRoomB → SprayPickedUp) → SprayPlacedInSiteB))', 'F(InRoomA) → F(InRoomB) → F((SprayPickedUp → SprayPlacedInSiteB))']","['Proceed to room A, then advance to room B. Conclude by picking up the spray and positioning it at site B, then return to room B.', 'Move to room A, progress to room B next. In the end, grab the spray and put it in site B before you return to room B.', 'Navigate to room A, further travel to room B. Finally, seize the spray and deposit it at site B, afterwards head back to room B.', 'Commence moving toward room A, continue on to room B. Lastly, lift the spray and set it down at site B, then journey back to room B.', 'Start by heading to room A, then head to room B. End this series by taking the spray and placing it in site B before heading back to room B.', 'Firstly, make your way to room A, then proceed to room B. Lastly, hold the spray and keep it in site B, and return to room B.', 'Embark to room A, then shift to room B. After that, take the spray and place it at site B and then retrace back to room B.', 'Initiate movement to room A, then traverse to room B. Lastly, get the spray and drop it at site B before you travel back to room B.', 'Start by going to room A, then move on to room B. Finally, take up the spray and locate it at site B, then make your way back to room B.', 'Set off to room A, then transition to room B. In the end, collect the spray and set it in site B, and then go back to room B.']"
Pick up the spray and place it in site B. Pick up the coke can and place it in site C.,F(SprayPickedUp → SprayPlacedInSiteB → CokecanPickedUp → CokecanPlacedInSiteC),"['SprayPickedUp', 'SprayPlacedInSiteB', 'CokecanPickedUp', 'CokecanPlacedInSiteC']","['F((SprayPickedUp) → ((SprayPlacedInSiteB) → (CokecanPickedUp → CokecanPlacedInSiteC)))', 'F((SprayPickedUp ∧ (SprayPlacedInSiteB)) → (CokecanPickedUp → CokecanPlacedInSiteC))', 'F((SprayPickedUp ∧ (CokecanPickedUp)) → SprayPlacedInSiteB → CokecanPlacedInSiteC)', 'F((SprayPickedUp) → (SprayPlacedInSiteB ∧ (CokecanPickedUp → CokecanPlacedInSiteC)))', 'F((SprayPickedUp → SprayPlacedInSiteB) ∧ (CokecanPickedUp → CokecanPlacedInSiteC))', 'F((SprayPickedUp → (SprayPlacedInSiteB ∧ CokecanPickedUp)) → CokecanPlacedInSiteC)', 'F((SprayPickedUp ∧ (SprayPlacedInSiteB ∧ CokecanPickedUp)) → CokecanPlacedInSiteC)']","['Grab the spray and put it at location B. Get the coke can and put it at location C.', 'Take the spray and deposit it in area B. Take the coke can and deposit it in area C.', 'Seize the spray and transfer it to spot B. Seize the coke can and transfer it to spot C.', 'Capture the spray and move it to place B. Capture the coke can and move it to place C.', 'Snatch the spray and relocate it to position B. Snatch the coke can and relocate it to position C.', 'Handle the spray and rearrange it to point B. Handle the coke can and rearrange it to point C.', 'Take hold of the spray and position it at B. Take hold of the coke can and position it at C.', 'Clutch the spray and allocate it to site B. Clutch the coke can and allocate it to site C.', 'Get a hold of the spray and set it down in zone B. Get a hold of the coke can and set it down in zone C.', 'Lay hold of the spray and shift it to spot B. Lay hold of the coke can and shift it to spot C.']"
Pick up the spray and place it in site B. Pick up the coke can and go to room A.,F(SprayPickedUp → SprayPlacedInSiteB → CokecanPickedUp → InRoomA),"['SprayPickedUp', 'SprayPlacedInSiteB', 'CokecanPickedUp', 'InRoomA']","['F(SprayPickedUp → (SprayPlacedInSiteB → (CokecanPickedUp → InRoomA)))', 'F((SprayPickedUp → SprayPlacedInSiteB) → (CokecanPickedUp → InRoomA))', 'F(SprayPickedUp → ((CokecanPickedUp → InRoomA) ∧ SprayPlacedInSiteB))', 'F(SprayPickedUp → ((SprayPlacedInSiteB → InRoomA) ∧ CokecanPickedUp))', 'F((SprayPickedUp ∧ SprayPlacedInSiteB) → (CokecanPickedUp → InRoomA))', 'F(((CokecanPickedUp → InRoomA) → SprayPlacedInSiteB) → SprayPickedUp)', 'F(CokecanPickedUp → (InRoomA → (SprayPickedUp → SprayPlacedInSiteB)))', 'F((CokecanPickedUp → InRoomA) → (SprayPickedUp → SprayPlacedInSiteB))', 'F((CokecanPickedUp → SprayPickedUp) → (InRoomA → SprayPlacedInSiteB))']","['Grab the spray and put it at site B. Take the coke can and head to room A.', 'Get the spray and move it to site B. Collect the coke can and proceed to room A.', 'Seize the spray and transfer it to site B. Lift the coke can and navigate to room A.', 'Snag the spray and deposit it in site B. Pick the coke can up then journey to room A.', 'Take hold of the spray and locate it to site B. Carry the coke can and traverse to room A.', 'Clutch the spray and set it down at site B. Raise the coke can and make your way to room A.', 'Capture the spray and transport it to site B. Retrieve the coke can and travel to room A.', 'Grasp the spray and relocate it to site B. Hoist the coke can and move in direction of room A.', 'Hold onto the spray and shift it to site B. Elevate the coke can and roam towards room A.', 'Latch onto the spray and position it to site B. Uplift the coke can and head off to room A.']"
