id,ltl,sentence
111,finally(SprayPickedUp),Grasp the spray
112,finally(not(not(SprayPickedUp))),Grasp the spray
113,finally((SprayPickedUp) or (SprayPickedUp)),Grasp the spray
114,finally((SprayPickedUp) and (SprayPickedUp)),Grasp the spray
115,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Grasp the spray
116,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Grasp the spray
117,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Grasp the spray
118,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Grasp the spray
119,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Grasp the spray
120,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Grasp the spray
121,finally(SprayPickedUp),Seize the spray
122,finally(not(not(SprayPickedUp))),Seize the spray
123,finally((SprayPickedUp) or (SprayPickedUp)),Seize the spray
124,finally((SprayPickedUp) and (SprayPickedUp)),Seize the spray
125,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Seize the spray
126,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Seize the spray
127,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Seize the spray
128,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Seize the spray
129,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Seize the spray
130,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Seize the spray
131,finally(SprayPickedUp),Catch the spray
132,finally(not(not(SprayPickedUp))),Catch the spray
133,finally((SprayPickedUp) or (SprayPickedUp)),Catch the spray
134,finally((SprayPickedUp) and (SprayPickedUp)),Catch the spray
135,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Catch the spray
136,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Catch the spray
137,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Catch the spray
138,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Catch the spray
139,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Catch the spray
140,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Catch the spray
141,finally(SprayPickedUp),Snatch the spray
142,finally(not(not(SprayPickedUp))),Snatch the spray
143,finally((SprayPickedUp) or (SprayPickedUp)),Snatch the spray
144,finally((SprayPickedUp) and (SprayPickedUp)),Snatch the spray
145,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Snatch the spray
146,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Snatch the spray
147,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Snatch the spray
148,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Snatch the spray
149,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Snatch the spray
150,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Snatch the spray
151,finally(SprayPickedUp),Clutch the spray
152,finally(not(not(SprayPickedUp))),Clutch the spray
153,finally((SprayPickedUp) or (SprayPickedUp)),Clutch the spray
154,finally((SprayPickedUp) and (SprayPickedUp)),Clutch the spray
155,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Clutch the spray
156,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Clutch the spray
157,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Clutch the spray
158,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Clutch the spray
159,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Clutch the spray
160,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Clutch the spray
161,finally(SprayPickedUp),Collect the spray
162,finally(not(not(SprayPickedUp))),Collect the spray
163,finally((SprayPickedUp) or (SprayPickedUp)),Collect the spray
164,finally((SprayPickedUp) and (SprayPickedUp)),Collect the spray
165,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Collect the spray
166,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Collect the spray
167,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Collect the spray
168,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Collect the spray
169,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Collect the spray
170,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Collect the spray
171,finally(SprayPickedUp),Procure the spray
172,finally(not(not(SprayPickedUp))),Procure the spray
173,finally((SprayPickedUp) or (SprayPickedUp)),Procure the spray
174,finally((SprayPickedUp) and (SprayPickedUp)),Procure the spray
175,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Procure the spray
176,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Procure the spray
177,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Procure the spray
178,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Procure the spray
179,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Procure the spray
180,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Procure the spray
181,finally(CupPickedUp),Grab the cup.
182,finally((CupPickedUp)),Grab the cup.
183,finally(CupPickedUp and CupPickedUp),Grab the cup.
184,finally((CupPickedUp or CupPickedUp)),Grab the cup.
185,finally((CupPickedUp) and (CupPickedUp)),Grab the cup.
186,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Grab the cup.
187,finally((CupPickedUp) imply (CupPickedUp)),Grab the cup.
188,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Grab the cup.
189,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Grab the cup.
190,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Grab the cup.
191,finally(CupPickedUp),Take hold of the cup.
192,finally((CupPickedUp)),Take hold of the cup.
193,finally(CupPickedUp and CupPickedUp),Take hold of the cup.
194,finally((CupPickedUp or CupPickedUp)),Take hold of the cup.
195,finally((CupPickedUp) and (CupPickedUp)),Take hold of the cup.
196,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Take hold of the cup.
197,finally((CupPickedUp) imply (CupPickedUp)),Take hold of the cup.
198,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Take hold of the cup.
199,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Take hold of the cup.
200,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Take hold of the cup.
201,finally(CupPickedUp),Get the cup.
202,finally((CupPickedUp)),Get the cup.
203,finally(CupPickedUp and CupPickedUp),Get the cup.
204,finally((CupPickedUp or CupPickedUp)),Get the cup.
205,finally((CupPickedUp) and (CupPickedUp)),Get the cup.
206,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Get the cup.
207,finally((CupPickedUp) imply (CupPickedUp)),Get the cup.
208,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Get the cup.
209,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Get the cup.
210,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Get the cup.
211,finally(CupPickedUp),Snatch the cup.
212,finally((CupPickedUp)),Snatch the cup.
213,finally(CupPickedUp and CupPickedUp),Snatch the cup.
214,finally((CupPickedUp or CupPickedUp)),Snatch the cup.
215,finally((CupPickedUp) and (CupPickedUp)),Snatch the cup.
216,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Snatch the cup.
217,finally((CupPickedUp) imply (CupPickedUp)),Snatch the cup.
218,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Snatch the cup.
219,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Snatch the cup.
220,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Snatch the cup.
221,finally(CupPickedUp),Seize the cup.
222,finally((CupPickedUp)),Seize the cup.
223,finally(CupPickedUp and CupPickedUp),Seize the cup.
224,finally((CupPickedUp or CupPickedUp)),Seize the cup.
225,finally((CupPickedUp) and (CupPickedUp)),Seize the cup.
226,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Seize the cup.
227,finally((CupPickedUp) imply (CupPickedUp)),Seize the cup.
228,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Seize the cup.
229,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Seize the cup.
230,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Seize the cup.
231,finally(CupPickedUp),Collect the cup.
232,finally((CupPickedUp)),Collect the cup.
233,finally(CupPickedUp and CupPickedUp),Collect the cup.
234,finally((CupPickedUp or CupPickedUp)),Collect the cup.
235,finally((CupPickedUp) and (CupPickedUp)),Collect the cup.
236,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Collect the cup.
237,finally((CupPickedUp) imply (CupPickedUp)),Collect the cup.
238,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Collect the cup.
239,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Collect the cup.
240,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Collect the cup.
241,finally(CupPickedUp),Obtain the cup.
242,finally((CupPickedUp)),Obtain the cup.
243,finally(CupPickedUp and CupPickedUp),Obtain the cup.
244,finally((CupPickedUp or CupPickedUp)),Obtain the cup.
245,finally((CupPickedUp) and (CupPickedUp)),Obtain the cup.
246,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Obtain the cup.
247,finally((CupPickedUp) imply (CupPickedUp)),Obtain the cup.
248,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Obtain the cup.
249,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Obtain the cup.
250,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Obtain the cup.
251,finally(CupPickedUp),Procure the cup.
252,finally((CupPickedUp)),Procure the cup.
253,finally(CupPickedUp and CupPickedUp),Procure the cup.
254,finally((CupPickedUp or CupPickedUp)),Procure the cup.
255,finally((CupPickedUp) and (CupPickedUp)),Procure the cup.
256,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Procure the cup.
257,finally((CupPickedUp) imply (CupPickedUp)),Procure the cup.
258,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Procure the cup.
259,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Procure the cup.
260,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Procure the cup.
261,finally(CupPickedUp),Secure the cup.
262,finally((CupPickedUp)),Secure the cup.
263,finally(CupPickedUp and CupPickedUp),Secure the cup.
264,finally((CupPickedUp or CupPickedUp)),Secure the cup.
265,finally((CupPickedUp) and (CupPickedUp)),Secure the cup.
266,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Secure the cup.
267,finally((CupPickedUp) imply (CupPickedUp)),Secure the cup.
268,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Secure the cup.
269,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Secure the cup.
270,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Secure the cup.
271,finally(CupPickedUp),Acquire the cup.
272,finally((CupPickedUp)),Acquire the cup.
273,finally(CupPickedUp and CupPickedUp),Acquire the cup.
274,finally((CupPickedUp or CupPickedUp)),Acquire the cup.
275,finally((CupPickedUp) and (CupPickedUp)),Acquire the cup.
276,finally(((CupPickedUp or CupPickedUp) or CupPickedUp)),Acquire the cup.
277,finally((CupPickedUp) imply (CupPickedUp)),Acquire the cup.
278,finally((CupPickedUp and CupPickedUp) and CupPickedUp),Acquire the cup.
279,finally((CupPickedUp) or (CupPickedUp or CupPickedUp)),Acquire the cup.
280,finally((CupPickedUp or CupPickedUp) imply CupPickedUp),Acquire the cup.
281,finally(CokecanPickedUp),Grab the coke can.
282,finally(finally(CokecanPickedUp)),Grab the coke can.
283,finally(not(not(CokecanPickedUp))),Grab the coke can.
284,finally(not(CokecanPickedUp) imply CokecanPickedUp),Grab the coke can.
285,finally(CokecanPickedUp or CokecanPickedUp),Grab the coke can.
286,finally((CokecanPickedUp and CokecanPickedUp)),Grab the coke can.
287,finally(CokecanPickedUp),Get hold of the coke can.
288,finally(finally(CokecanPickedUp)),Get hold of the coke can.
289,finally(not(not(CokecanPickedUp))),Get hold of the coke can.
290,finally(not(CokecanPickedUp) imply CokecanPickedUp),Get hold of the coke can.
291,finally(CokecanPickedUp or CokecanPickedUp),Get hold of the coke can.
292,finally((CokecanPickedUp and CokecanPickedUp)),Get hold of the coke can.
293,finally(CokecanPickedUp),Collect the coke can.
294,finally(finally(CokecanPickedUp)),Collect the coke can.
295,finally(not(not(CokecanPickedUp))),Collect the coke can.
296,finally(not(CokecanPickedUp) imply CokecanPickedUp),Collect the coke can.
297,finally(CokecanPickedUp or CokecanPickedUp),Collect the coke can.
298,finally((CokecanPickedUp and CokecanPickedUp)),Collect the coke can.
299,finally(CokecanPickedUp),Take the coke can.
300,finally(finally(CokecanPickedUp)),Take the coke can.
301,finally(not(not(CokecanPickedUp))),Take the coke can.
302,finally(not(CokecanPickedUp) imply CokecanPickedUp),Take the coke can.
303,finally(CokecanPickedUp or CokecanPickedUp),Take the coke can.
304,finally((CokecanPickedUp and CokecanPickedUp)),Take the coke can.
305,finally(CokecanPickedUp),Snatch the coke can.
306,finally(finally(CokecanPickedUp)),Snatch the coke can.
307,finally(not(not(CokecanPickedUp))),Snatch the coke can.
308,finally(not(CokecanPickedUp) imply CokecanPickedUp),Snatch the coke can.
309,finally(CokecanPickedUp or CokecanPickedUp),Snatch the coke can.
310,finally((CokecanPickedUp and CokecanPickedUp)),Snatch the coke can.
311,finally(CokecanPickedUp),Clutch the coke can.
312,finally(finally(CokecanPickedUp)),Clutch the coke can.
313,finally(not(not(CokecanPickedUp))),Clutch the coke can.
314,finally(not(CokecanPickedUp) imply CokecanPickedUp),Clutch the coke can.
315,finally(CokecanPickedUp or CokecanPickedUp),Clutch the coke can.
316,finally((CokecanPickedUp and CokecanPickedUp)),Clutch the coke can.
317,finally(CokecanPickedUp),Seize the coke can.
318,finally(finally(CokecanPickedUp)),Seize the coke can.
319,finally(not(not(CokecanPickedUp))),Seize the coke can.
320,finally(not(CokecanPickedUp) imply CokecanPickedUp),Seize the coke can.
321,finally(CokecanPickedUp or CokecanPickedUp),Seize the coke can.
322,finally((CokecanPickedUp and CokecanPickedUp)),Seize the coke can.
323,finally(CokecanPickedUp),Capture the coke can.
324,finally(finally(CokecanPickedUp)),Capture the coke can.
325,finally(not(not(CokecanPickedUp))),Capture the coke can.
326,finally(not(CokecanPickedUp) imply CokecanPickedUp),Capture the coke can.
327,finally(CokecanPickedUp or CokecanPickedUp),Capture the coke can.
328,finally((CokecanPickedUp and CokecanPickedUp)),Capture the coke can.
329,finally(CokecanPickedUp),Fetch the coke can.
330,finally(finally(CokecanPickedUp)),Fetch the coke can.
331,finally(not(not(CokecanPickedUp))),Fetch the coke can.
332,finally(not(CokecanPickedUp) imply CokecanPickedUp),Fetch the coke can.
333,finally(CokecanPickedUp or CokecanPickedUp),Fetch the coke can.
334,finally((CokecanPickedUp and CokecanPickedUp)),Fetch the coke can.
335,finally(CokecanPickedUp),Procure the coke can.
336,finally(finally(CokecanPickedUp)),Procure the coke can.
337,finally(not(not(CokecanPickedUp))),Procure the coke can.
338,finally(not(CokecanPickedUp) imply CokecanPickedUp),Procure the coke can.
339,finally(CokecanPickedUp or CokecanPickedUp),Procure the coke can.
340,finally((CokecanPickedUp and CokecanPickedUp)),Procure the coke can.
341,finally(SprayPlacedInSiteA),Set the spray can at location A.
342,finally(globally(SprayPlacedInSiteA)),Set the spray can at location A.
343,finally((SprayPlacedInSiteA) or (SprayPlacedInSiteA)),Set the spray can at location A.
344,finally((SprayPlacedInSiteA) and (SprayPlacedInSiteA)),Set the spray can at location A.
345,finally(globally((SprayPlacedInSiteA) or (SprayPlacedInSiteA))),Set the spray can at location A.
346,finally(globally((SprayPlacedInSiteA) and (SprayPlacedInSiteA))),Set the spray can at location A.
347,finally((not(not(SprayPlacedInSiteA)))),Set the spray can at location A.
348,finally(not(not(SprayPlacedInSiteA))),Set the spray can at location A.
349,finally(not(not((SprayPlacedInSiteA) or (SprayPlacedInSiteA)))),Set the spray can at location A.
350,finally((not(not(SprayPlacedInSiteA))) and (not(not(SprayPlacedInSiteA)))),Set the spray can at location A.
351,finally(SprayPlacedInSiteA),Put the spray can in site A.
352,finally(globally(SprayPlacedInSiteA)),Put the spray can in site A.
353,finally((SprayPlacedInSiteA) or (SprayPlacedInSiteA)),Put the spray can in site A.
354,finally((SprayPlacedInSiteA) and (SprayPlacedInSiteA)),Put the spray can in site A.
355,finally(globally((SprayPlacedInSiteA) or (SprayPlacedInSiteA))),Put the spray can in site A.
356,finally(globally((SprayPlacedInSiteA) and (SprayPlacedInSiteA))),Put the spray can in site A.
357,finally((not(not(SprayPlacedInSiteA)))),Put the spray can in site A.
358,finally(not(not(SprayPlacedInSiteA))),Put the spray can in site A.
359,finally(not(not((SprayPlacedInSiteA) or (SprayPlacedInSiteA)))),Put the spray can in site A.
360,finally((not(not(SprayPlacedInSiteA))) and (not(not(SprayPlacedInSiteA)))),Put the spray can in site A.
361,finally(SprayPlacedInSiteA),Deposit the spray can in site A.
362,finally(globally(SprayPlacedInSiteA)),Deposit the spray can in site A.
363,finally((SprayPlacedInSiteA) or (SprayPlacedInSiteA)),Deposit the spray can in site A.
364,finally((SprayPlacedInSiteA) and (SprayPlacedInSiteA)),Deposit the spray can in site A.
365,finally(globally((SprayPlacedInSiteA) or (SprayPlacedInSiteA))),Deposit the spray can in site A.
366,finally(globally((SprayPlacedInSiteA) and (SprayPlacedInSiteA))),Deposit the spray can in site A.
367,finally((not(not(SprayPlacedInSiteA)))),Deposit the spray can in site A.
368,finally(not(not(SprayPlacedInSiteA))),Deposit the spray can in site A.
369,finally(not(not((SprayPlacedInSiteA) or (SprayPlacedInSiteA)))),Deposit the spray can in site A.
370,finally((not(not(SprayPlacedInSiteA))) and (not(not(SprayPlacedInSiteA)))),Deposit the spray can in site A.
371,finally(SprayPlacedInSiteA),Settle the spray can at site A.
372,finally(globally(SprayPlacedInSiteA)),Settle the spray can at site A.
373,finally((SprayPlacedInSiteA) or (SprayPlacedInSiteA)),Settle the spray can at site A.
374,finally((SprayPlacedInSiteA) and (SprayPlacedInSiteA)),Settle the spray can at site A.
375,finally(globally((SprayPlacedInSiteA) or (SprayPlacedInSiteA))),Settle the spray can at site A.
376,finally(globally((SprayPlacedInSiteA) and (SprayPlacedInSiteA))),Settle the spray can at site A.
377,finally((not(not(SprayPlacedInSiteA)))),Settle the spray can at site A.
378,finally(not(not(SprayPlacedInSiteA))),Settle the spray can at site A.
379,finally(not(not((SprayPlacedInSiteA) or (SprayPlacedInSiteA)))),Settle the spray can at site A.
380,finally((not(not(SprayPlacedInSiteA))) and (not(not(SprayPlacedInSiteA)))),Settle the spray can at site A.
381,finally(SprayPlacedInSiteA),Position the spray can in site A.
382,finally(globally(SprayPlacedInSiteA)),Position the spray can in site A.
383,finally((SprayPlacedInSiteA) or (SprayPlacedInSiteA)),Position the spray can in site A.
384,finally((SprayPlacedInSiteA) and (SprayPlacedInSiteA)),Position the spray can in site A.
385,finally(globally((SprayPlacedInSiteA) or (SprayPlacedInSiteA))),Position the spray can in site A.
386,finally(globally((SprayPlacedInSiteA) and (SprayPlacedInSiteA))),Position the spray can in site A.
387,finally((not(not(SprayPlacedInSiteA)))),Position the spray can in site A.
388,finally(not(not(SprayPlacedInSiteA))),Position the spray can in site A.
389,finally(not(not((SprayPlacedInSiteA) or (SprayPlacedInSiteA)))),Position the spray can in site A.
390,finally((not(not(SprayPlacedInSiteA))) and (not(not(SprayPlacedInSiteA)))),Position the spray can in site A.
391,finally(SprayPlacedInSiteA),Lay the spray can in site A.
392,finally(globally(SprayPlacedInSiteA)),Lay the spray can in site A.
393,finally((SprayPlacedInSiteA) or (SprayPlacedInSiteA)),Lay the spray can in site A.
394,finally((SprayPlacedInSiteA) and (SprayPlacedInSiteA)),Lay the spray can in site A.
395,finally(globally((SprayPlacedInSiteA) or (SprayPlacedInSiteA))),Lay the spray can in site A.
396,finally(globally((SprayPlacedInSiteA) and (SprayPlacedInSiteA))),Lay the spray can in site A.
397,finally((not(not(SprayPlacedInSiteA)))),Lay the spray can in site A.
398,finally(not(not(SprayPlacedInSiteA))),Lay the spray can in site A.
399,finally(not(not((SprayPlacedInSiteA) or (SprayPlacedInSiteA)))),Lay the spray can in site A.
400,finally((not(not(SprayPlacedInSiteA))) and (not(not(SprayPlacedInSiteA)))),Lay the spray can in site A.
401,finally(SprayPlacedInSiteA),Establish the spray can at location A.
402,finally(globally(SprayPlacedInSiteA)),Establish the spray can at location A.
403,finally((SprayPlacedInSiteA) or (SprayPlacedInSiteA)),Establish the spray can at location A.
404,finally((SprayPlacedInSiteA) and (SprayPlacedInSiteA)),Establish the spray can at location A.
405,finally(globally((SprayPlacedInSiteA) or (SprayPlacedInSiteA))),Establish the spray can at location A.
406,finally(globally((SprayPlacedInSiteA) and (SprayPlacedInSiteA))),Establish the spray can at location A.
407,finally((not(not(SprayPlacedInSiteA)))),Establish the spray can at location A.
408,finally(not(not(SprayPlacedInSiteA))),Establish the spray can at location A.
409,finally(not(not((SprayPlacedInSiteA) or (SprayPlacedInSiteA)))),Establish the spray can at location A.
410,finally((not(not(SprayPlacedInSiteA))) and (not(not(SprayPlacedInSiteA)))),Establish the spray can at location A.
411,finally(SprayPlacedInSiteA),Station the spray can at site A.
412,finally(globally(SprayPlacedInSiteA)),Station the spray can at site A.
413,finally((SprayPlacedInSiteA) or (SprayPlacedInSiteA)),Station the spray can at site A.
414,finally((SprayPlacedInSiteA) and (SprayPlacedInSiteA)),Station the spray can at site A.
415,finally(globally((SprayPlacedInSiteA) or (SprayPlacedInSiteA))),Station the spray can at site A.
416,finally(globally((SprayPlacedInSiteA) and (SprayPlacedInSiteA))),Station the spray can at site A.
417,finally((not(not(SprayPlacedInSiteA)))),Station the spray can at site A.
418,finally(not(not(SprayPlacedInSiteA))),Station the spray can at site A.
